1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,d左上,d上右,0,0,0,0,0,0
0,0,0,0,0,0,0,0,d左,d右,0,0,0,0,0,0
0,0,0,0,0,0,p2,0,d左,d右,0,p2,0,0,0,0
0,0,0,0,0,0,0,0,d下左,d右下,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,w2右3,nm,nm,nm,nm,nm,nm,w2左3,1,0,0
0,0,0,1,1,nm,nm,p2,0,0,0,nm,nm,1,0,0
0,0,0,1,nm,nm,0,0,0,0,p2,0,nm,1,0,0
0,0,1,1,nm,0,0,0,0,bm1x1,0,0,nm,1,0,0
0,0,1,nm,nm,0,0,0,0,0,0,0,nm,1,1,1
0,0,1,nm,0,0,0,0,0,0,0,0,nm,0,0,1
0,0,1,nm,0,0,0,0,0,0.5a1,0,0,nm,0,0,1
0,0,1,nm,0,0,0,0,0,0,0,0,nm,1,0,1
1,1,1,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,nm,0,1
