<<<<<<< HEAD
DiedBecause,PlayTime,KillSpider,KillSlime,P1SpiderShooted,P1SpiderHit,P1SlimeHit,P1BubbleTimes,P2SpiderShooted,P2SpiderHit,P2SlimeHit,P2BubbleTimes
Distance,3 : 55,19,0,36,14,0,0,46,21,0,0
Distance,3 : 5,22,0,26,6,0,0,35,12,0,0
SpiderShoot,3 : 31,11,0,8,4,0,4,10,4,0,0
SpiderShoot,3 : 57,4,0,46,6,0,0,20,4,0,0
Distance,3 : 49,14,0,25,4,0,7,22,4,0,0
SpiderHit,0 : 47,2,0,5,3,0,0,10,4,0,0
SpiderShoot,1 : 14,2,0,10,3,0,5,2,0,0,0
SpiderShoot,1 : 16,1,0,14,2,0,0,13,3,0,0
SpiderHit,1 : 20,4,0,8,1,0,0,17,2,0,0
SpiderHit,0 : 13,0,0,0,1,0,0,0,0,0,0
Distance,0 : 9,0,0,0,1,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 1,0,0,0,0,0,0,0,0,0,0
Distance,0 : 15,0,0,0,0,0,0,0,0,0,0
Distance,0 : 7,0,0,0,0,0,0,0,0,0,0
Distance,0 : 5,0,0,0,0,0,0,0,0,0,0
Distance,0 : 6,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,0 : 10,0,0,0,0,0,0,0,0,0,0
Distance,0 : 18,0,0,0,0,0,0,0,0,0,0
Distance,0 : 29,0,0,0,0,0,0,0,0,0,0
Distance,0 : 17,0,0,0,0,0,0,0,0,0,0
Distance,2 : 28,0,0,0,0,0,0,0,0,0,0
Distance,1 : 24,0,0,0,0,0,0,0,0,0,0
Distance,0 : 15,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
Distance,1 : 46,0,0,0,0,0,0,0,0,0,0
Distance,0 : 42,0,0,0,0,0,0,0,0,0,0
Distance,0 : 26,0,0,0,0,0,0,0,0,0,0
Distance,10 : 0,8,0,97,7,0,0,64,1,0,0
SpiderShoot,0 : 35,3,0,10,2,0,0,4,0,0,0
SpiderShoot,1 : 15,5,0,2,0,0,0,6,0,0,0
SpiderShoot,0 : 53,0,0,4,1,0,0,4,0,0,0
SpiderShoot,0 : 12,0,0,2,1,0,0,0,1,0,0
SpiderShoot,0 : 29,1,0,3,2,0,0,2,1,0,0
SpiderHit,0 : 44,6,0,2,1,0,1,4,2,0,0
SpiderHit,1 : 14,9,0,11,1,0,0,6,1,0,0
=======
<<<<<<< HEAD
DiedBecause,PlayTime,KillSpider,KillSlime,P1SpiderShooted,P1SpiderHit,P1SlimeHit,P1BubbleTimes,P2SpiderShooted,P2SpiderHit,P2SlimeHit,P2BubbleTimes
